Time,Temperature,Humidity,Pressure,SoundLvL
1716883243866427196,22.16,992.52,50.70,-60.64
1716883243966246155,22.15,992.49,50.68,-59.82
1716883244071429488,22.15,992.54,50.69,-58.19
1716883244167411884,22.17,992.48,50.70,-58.60
1716883244273960790,22.16,992.55,50.69,-60.28
1716883244370139019,22.17,992.48,50.69,-62.41
1716883244465761988,22.17,992.45,50.70,-61.71
1716883244572436571,22.17,992.50,50.73,-60.58
1716883244668326154,22.18,992.53,50.72,-60.64
1716883244764077300,22.17,992.51,50.71,-61.02
1716883244871204227,22.17,992.48,50.71,-61.09
1716883244967279800,22.17,992.48,50.70,-57.76
1716883245073055894,22.18,992.52,50.71,-56.18
1716883245158639383,22.18,992.52,50.71,-59.65
1716883245264715165,22.18,992.55,50.71,-60.03
1716883245371432873,22.18,992.46,50.72,-59.23
1716883245467262821,22.18,992.52,50.72,-61.12
1716883245573938810,22.17,992.51,50.70,-60.33
1716883245669907508,22.18,992.53,50.71,-58.09
1716883245767715373,22.18,992.49,50.70,-60.47
1716883245873796050,22.18,992.46,50.72,-61.63
1716883245970145633,22.17,992.51,50.72,-60.60
1716883246066221206,22.18,992.49,50.70,-53.05
1716883246172871727,22.18,992.49,50.71,-57.84
1716883246268876831,22.18,992.55,50.72,-58.87
1716883246375166466,22.18,992.49,50.72,-60.02
1716883246460082873,22.17,992.51,50.72,-59.90
1716883246566576258,22.18,992.47,50.70,-59.21
1716883246673628029,22.18,992.50,50.72,-59.65
1716883246768374018,22.18,992.52,50.72,-60.10
1716883246864817612,22.18,992.47,50.71,-58.41
1716883246972147924,22.18,992.53,50.70,-60.47
1716883247067108393,22.18,992.47,50.71,-61.59
1716883247173805685,22.18,992.55,50.70,-62.37
1716883247260005112,22.18,992.53,50.70,-62.66
1716883247365825112,22.19,992.56,50.70,-61.48
1716883247472381987,22.18,992.49,50.71,-60.54
1716883247568453341,22.18,992.46,50.70,-62.19
1716883247674778080,22.18,992.58,50.70,-63.35
1716883247759761778,22.19,992.51,50.69,-61.19
1716883247866267820,22.18,992.49,50.70,-62.00
1716883247973439487,22.19,992.53,50.69,-61.03
1716883248069112351,22.18,992.47,50.70,-61.51
1716883248165032143,22.18,992.50,50.69,-58.37
1716883248259749278,22.18,992.55,50.70,-57.03
1716883248366313132,22.18,992.55,50.70,-56.93
1716883248472786465,22.18,992.50,50.70,-60.02
1716883248557602976,22.19,992.53,50.70,-61.29
1716883248663890892,22.18,992.53,50.69,-58.64
1716883248769613809,22.18,992.49,50.69,-60.65
1716883248866946830,22.18,992.50,50.70,-60.62
1716883248961931726,22.18,992.50,50.70,-51.47
1716883249057848861,22.18,992.50,50.70,-59.86
1716883249163881830,22.18,992.55,50.68,-61.78
1716883249270218444,22.18,992.53,50.68,-62.64
1716883249355515944,22.19,992.53,50.69,-60.97
1716883249461214382,22.19,992.54,50.67,-54.29
1716883249557447611,22.18,992.53,50.66,-57.17
1716883249663750267,22.19,992.53,50.69,-58.45
1716883249769813080,22.18,992.55,50.67,-59.90
1716883249855477194,22.19,992.53,50.67,-58.92
1716883249962175580,22.18,992.53,50.68,-58.35
1716883250068553027,22.18,992.47,50.66,-59.58
1716883250163135007,22.19,992.49,50.69,-61.53
1716883250259952559,22.18,992.47,50.69,-62.99
1716883250355320475,22.18,992.46,50.67,-64.27
1716883250461404538,22.18,992.53,50.67,-64.27
1716883250568315892,22.18,992.45,50.66,-63.04
1716883250652842715,22.18,992.46,50.68,-60.45
1716883250759421569,22.18,992.50,50.66,-62.95
1716883250855678496,22.19,992.51,50.66,-57.41
1716883250961558808,22.18,992.53,50.66,-62.76
1716883251057822037,22.19,992.48,50.67,-68.93
1716883251153430944,22.18,992.55,50.66,-61.75
1716883251260397871,22.18,992.47,50.67,-62.03
1716883251356706569,22.19,992.59,50.66,-58.18
1716883251451970423,22.18,992.53,50.66,-63.96
1716883251559005996,22.18,992.58,50.67,-63.87
1716883251654989277,22.18,992.50,50.64,-62.97
1716883251760463027,22.18,992.50,50.65,-59.09
1716883251867490683,22.18,992.53,50.65,-60.76
1716883251952728912,22.18,992.53,50.67,-62.65
1716883252058655839,22.19,992.48,50.66,-61.37
1716883252155158131,22.18,992.49,50.66,-62.57
1716883252261403027,22.18,992.53,50.66,-61.62
1716883252357529016,22.18,992.42,50.65,-61.49
1716883252453403235,22.18,992.55,50.67,-61.07
1716883252560118808,22.18,992.49,50.67,-64.98
1716883252656048391,22.19,992.51,50.66,-58.86
1716883252752011360,22.18,992.42,50.66,-66.66
1716883252858086516,22.18,992.41,50.66,-65.39
1716883252954424901,22.18,992.47,50.67,-61.91
1716883253061497662,22.18,992.44,50.67,-57.85
1716883253155943495,22.18,992.49,50.69,-62.64
1716883253251409120,22.17,992.46,50.65,-58.40
1716883253357693287,22.18,992.50,50.69,-58.31
1716883253453323026,22.18,992.52,50.67,-62.49
1716883253548812766,22.19,992.48,50.67,-63.96
1716883253655107245,22.19,992.53,50.68,-60.29
1716883253751100838,22.18,992.49,50.69,-44.22
1716883253857156568,22.18,992.47,50.69,-63.16
1716883253942613495,22.18,992.47,50.69,-64.77
1716883254048529849,22.18,992.50,50.67,-64.90
1716883254155427088,22.18,992.52,50.69,-63.37
1716883254250907401,22.18,992.45,50.69,-63.08
1716883254357530734,22.18,992.47,50.69,-60.00
1716883254451601255,22.18,992.53,50.69,-63.61
1716883254547301828,22.18,992.47,50.70,-61.71
1716883254654077921,22.19,992.51,50.67,-62.40
1716883254749420526,22.18,992.45,50.69,-66.40
1716883254845381828,22.18,992.53,50.67,-64.92
1716883254951831515,22.18,992.53,50.68,-59.94
1716883255047815942,22.18,992.45,50.68,-60.00
1716883255154285734,22.18,992.55,50.69,-60.74
1716883255239390109,22.18,992.50,50.68,-59.43
1716883255345921411,22.18,992.47,50.67,-60.67
1716883255452462348,22.18,992.55,50.67,-60.22
1716883255548159119,22.18,992.53,50.69,-60.14
1716883255644150942,22.18,992.47,50.67,-62.30
1716883255740523963,22.18,992.50,50.69,-61.93
1716883255846285056,22.18,992.50,50.69,-62.95
1716883255952646567,22.19,992.48,50.69,-62.31
1716883256048779692,22.18,992.50,50.67,-61.36
1716883256144546046,22.19,992.52,50.68,-58.49
1716883256251292660,22.19,992.53,50.67,-57.73
1716883256346670629,22.19,992.48,50.67,-58.70
1716883256453648962,22.18,992.53,50.69,-60.89
1716883256538247921,22.17,992.48,50.68,-62.96
1716883256644760837,22.19,992.53,50.70,-62.05
1716883256751363494,22.17,992.51,50.68,-63.07
1716883256847452244,22.18,992.50,50.69,-63.61
1716883256943277712,22.19,992.53,50.69,-62.58
1716883257039371150,22.18,992.47,50.69,-60.63
1716883257144815056,22.18,992.46,50.70,-60.87
1716883257251351306,22.19,992.48,50.68,-59.06
1716883257336631775,22.19,992.45,50.67,-60.84
1716883257443263597,22.18,992.50,50.67,-57.52
1716883257549765212,22.18,992.53,50.68,-58.90
1716883257645747452,22.18,992.47,50.68,-60.58
1716883257752242243,22.18,992.58,50.69,-61.96
1716883257837772608,22.17,992.48,50.69,-62.12
1716883257943944691,22.17,992.46,50.67,-62.57
1716883258051476670,22.18,992.47,50.68,-60.25
1716883258146551931,22.19,992.53,50.69,-60.53
1716883258242620681,22.18,992.55,50.69,-60.34
1716883258339660576,22.19,992.53,50.67,-59.60
1716883258445302712,22.19,992.53,50.66,-59.55
1716883258551745680,22.17,992.51,50.68,-60.36
1716883258636928128,22.17,992.46,50.67,-60.24
1716883258745535212,22.18,992.50,50.69,-60.58
1716883258839515159,22.18,992.52,50.69,-59.35
1716883258946461357,22.19,992.56,50.68,-58.79
1716883259042497920,22.19,992.53,50.69,-59.08
1716883259138567086,22.18,992.50,50.69,-58.10
1716883259244882555,22.18,992.41,50.68,-59.08
1716883259351697138,22.19,992.53,50.68,-57.90
1716883259440254065,22.18,992.49,50.69,-58.93
1716883259545344743,22.18,992.57,50.69,-58.85
1716883259642683545,22.17,992.51,50.67,-56.57
1716883259749238545,22.19,992.51,50.68,-58.93
1716883259854542763,22.18,992.50,50.70,-58.67
1716883259939988857,22.18,992.55,50.69,-59.16
1716883260046695992,22.19,992.45,50.69,-59.40
1716883260142473961,22.18,992.49,50.69,-58.28
1716883260250097971,22.18,992.46,50.68,-60.14
1716883260346068336,22.18,992.55,50.69,-62.55
1716883260441718388,22.18,992.50,50.70,-60.20
1716883260548305575,22.18,992.49,50.69,-55.58
1716883260655212138,22.18,992.39,50.70,-56.51
1716883260740933127,22.18,992.49,50.67,-59.64
1716883260847706721,22.18,992.44,50.70,-59.08
1716883260943856461,22.18,992.46,50.69,-58.82
1716883261050088023,22.18,992.50,50.69,-57.97
1716883261145675159,22.18,992.47,50.68,-58.86
1716883261242657763,22.18,992.53,50.69,-61.69
1716883261349401148,22.17,992.51,50.67,-61.77
1716883261445408492,22.17,992.48,50.70,-58.35
1716883261541665731,22.19,992.53,50.70,-57.37
1716883261648505627,22.18,992.47,50.68,-57.06
1716883261744583700,22.18,992.47,50.70,-58.29
1716883261850781773,22.18,992.47,50.70,-60.13
1716883261957425575,22.17,992.51,50.69,-56.43
1716883262043389169,22.17,992.51,50.69,-57.93
1716883262150064117,22.18,992.46,50.70,-58.76
1716883262246150262,22.18,992.55,50.69,-58.03
1716883262352491148,22.18,992.50,50.70,-57.37
1716883262449657554,22.17,992.54,50.70,-58.33
1716883262545323023,22.18,992.47,50.70,-58.48
1716883262651804377,22.18,992.52,50.69,-59.51
1716883262748328179,22.18,992.49,50.70,-58.25
1716883262843865887,22.18,992.49,50.69,-55.92
1716883262951186877,22.17,992.56,50.70,-56.84
1716883263047071304,22.18,992.46,50.69,-58.79
1716883263153781147,22.18,992.49,50.69,-59.39
1716883263238726824,22.17,992.51,50.69,-58.32
1716883263345930418,22.18,992.55,50.69,-57.14
1716883263452559429,22.18,992.46,50.70,-58.95
1716883263548457501,22.18,992.52,50.70,-59.70
1716883263644588908,22.17,992.51,50.68,-57.94
1716883263751791772,22.18,992.52,50.69,-58.13
1716883263847875991,22.17,992.50,50.69,-57.98
1716883263954603960,22.18,992.52,50.69,-58.21
1716883264039777085,22.18,992.50,50.69,-57.80
1716883264146306095,22.17,992.51,50.68,-58.23
1716883264253653907,22.18,992.49,50.68,-58.13
1716883264349417605,22.17,992.51,50.68,-58.85
1716883264456506668,22.17,992.46,50.69,-58.22
1716883264542008439,22.17,992.46,50.69,-57.40
1716883264648497188,22.17,992.51,50.67,-58.05
1716883264756260991,22.17,992.51,50.67,-57.65
1716883264851737188,22.17,992.54,50.67,-57.71
1716883264947720313,22.17,992.46,50.67,-57.87
1716883265054019324,22.17,992.46,50.66,-58.42
1716883265150134272,22.17,992.48,50.69,-59.23
1716883265257261772,22.17,992.48,50.65,-59.97
1716883265343116824,22.18,992.46,50.66,-58.46
1716883265449285053,22.18,992.49,50.67,-58.52
1716883265556533542,22.17,992.48,50.66,-59.01
1716883265652639167,22.17,992.45,50.64,-56.83
1716883265748810626,22.18,992.55,50.63,-55.40
1716883265845003178,22.17,992.48,50.63,-56.88
1716883265951167917,22.17,992.48,50.63,-56.46
1716883266058154271,22.17,992.48,50.63,-58.45
1716883266144557188,22.16,992.44,50.61,-51.94
1716883266251501563,22.17,992.48,50.64,-52.42
1716883266345925313,22.17,992.53,50.61,-58.96
1716883266453505729,22.17,992.50,50.62,-59.99
1716883266559780886,22.17,992.46,50.63,-59.25
1716883266645248281,22.17,992.48,50.61,-58.68
1716883266752812344,22.16,992.41,50.63,-58.04
1716883266859226563,22.17,992.53,50.63,-59.19
1716883266956026927,22.17,992.48,50.61,-54.75
1716883267052120521,22.16,992.44,50.63,-57.76
1716883267148011302,22.17,992.48,50.63,-58.04
1716883267255953281,22.17,992.51,50.61,-58.35
1716883267362122656,22.16,992.50,50.63,-58.96
1716883267448267031,22.17,992.51,50.63,-59.67
1716883267555569010,22.17,992.50,50.62,-58.03
1716883267651174323,22.18,992.52,50.64,-58.02
1716883267758042552,22.18,992.55,50.63,-58.59
1716883267854368125,22.17,992.46,50.60,-57.70
1716883267950892552,22.17,992.51,50.60,-57.51
1716883268057114166,22.17,992.48,50.61,-58.35
1716883268165928645,22.17,992.48,50.61,-58.37
1716883268250620625,22.16,992.44,50.63,-57.64
1716883268357170104,22.17,992.46,50.63,-57.95
1716883268452893802,22.17,992.51,50.62,-58.12
1716883268560636197,22.17,992.46,50.63,-58.08
1716883268666924479,22.17,992.54,50.60,-58.82
1716883268752190781,22.17,992.48,50.61,-58.56
1716883268859553697,22.18,992.46,50.61,-58.12
1716883268956133333,22.17,992.39,50.60,-58.42
1716883269062965833,22.18,992.55,50.59,-57.94
1716883269159262135,22.17,992.51,50.59,-58.99
1716883269255244478,22.17,992.40,50.60,-58.25
1716883269362122968,22.17,992.54,50.62,-58.14
1716883269458426926,22.17,992.51,50.59,-58.27
1716883269554515103,22.17,992.46,50.59,-58.52
1716883269661463228,22.18,992.55,50.59,-58.75
1716883269758226770,22.18,992.46,50.60,-57.77
1716883269864617447,22.17,992.46,50.59,-58.06
1716883269961318332,22.17,992.50,50.59,-58.64
1716883270056611093,22.17,992.54,50.60,-58.95
1716883270163684530,22.18,992.46,50.60,-59.12
1716883270260294270,22.16,992.52,50.59,-59.78
1716883270356579165,22.17,992.50,50.59,-58.68
1716883270462696249,22.17,992.53,50.58,-59.61
1716883270559707499,22.16,992.47,50.60,-56.98
1716883270666337342,22.17,992.53,50.59,-60.17
1716883270751705415,22.16,992.52,50.59,-60.38
1716883270858471405,22.17,992.48,50.59,-57.48
1716883270965388124,22.17,992.50,50.59,-57.33
1716883271061464478,22.16,992.44,50.59,-59.44
1716883271168668019,22.15,992.54,50.59,-59.01
1716883271264855259,22.17,992.53,50.60,-58.91
1716883271361024217,22.17,992.48,50.60,-57.95
1716883271467394009,22.16,992.50,50.60,-58.18
1716883271564034842,22.16,992.50,50.59,-60.59
1716883271660456352,22.17,992.53,50.59,-58.15
1716883271766285936,22.16,992.50,50.57,-59.45
1716883271863379477,22.15,992.43,50.58,-57.67
